sense_1,sense_2,mark
blind,"solid, entire, continuous",1
throat,eater,1
throat,food,1
suffocation,boring,1
faeces,"slag, scoria",1
debt,"duty, responsibility",1
"tube, pipe",trumpet,1
"tube, pipe",<negative evaluation>,1
fool,fanatic,1
to rotate (tr.),to ache,1
to peck (of a bird),to offend (tr.),1
jaw,sleigh,1
god,smallpox,1
grass,April,1
clean (adj.),saint,1
wire (n.),telegram,1
hoar-frost,grey hair,1
to spoil,"to untie, unbind",1
elder,thumb,1
pig (Sus scrofa),haystack,1
to fall asleep,to go out (of fire),1
to wake up (intr.),to erupt,1
grandmother,mandrel (technology),1
doll,pupa,1
doll,larva,1
doll,mandrel (technology),1
to nail,to stare,1
<foreigner>,guava (Psidium guajava),1
Thai crape myrtle (Lagerstroemia floribunda),guava (Psidium guajava),1
olive (Olea europaea),guava (Psidium guajava),1
pomegranate,guava (Psidium guajava),1
egg,eggplant (Solanum melongena),1
eggplant (Solanum melongena),tomato (Solanum lycopersicum),1
monk,donut,1
voice,vote,1
syllable,byte,1
navel,pole (geographical),1
lentil (Lens culinaris),lens,1
to love,forget-me-not (flower),1
tongue (body part),string (of a musical instrument),1
"cover, lid",deck (of a ship),1
"cover, lid",cover (of a book),1
part,byte,1
"to turn, rotate (intr.)",about,1
throat,voice,1
sticky,annoying,1
battle,"dispute, discussion",1
"serious, thoughful",important,1
corpse,bad (ethically),1
skin (of an animal),volume (of books),1
Jesuit,cunning person,1
generous with money,fertile (soil),1
hoe,anchor,1
wheel,sky,1
"grain, seed",nucleus (in physics),1
insane,very,1
"stranger, foreign",lier,1
any,bad,1
to put on,to hope,1
more quickly,better,1
early,better,1
"to penetrate, get into",to understand,1
to spoil,to pamper,1
"to shut, to close",to deceive,1
to slip,to fail,1
to fall down,to be solved,1
to burn (intr.),to fail,1
to turn round,"to appear, emerge",1
to turn back to look at smth.,to return (intr.),1
"to turn, rotate (tr.)",to invest,1
to blow off,to cancel,1
to leave,to lose,1
to enter,to cost,1
to anchor,to choose,1
to shake off,to get rid of,1
to pierce,to choose,1
"to lower, put down",to stop doing smth.,1
to break (tr.),to depress,1
to rivet,to work carelessly,1
to sell,to betray,1
pain,disease,1
outwards,by heart,1
to rivet,to slander,1
to unfold,to create a text,1
to put out,to tell,1
brain (cerebrum),crown of the head,1
couple,to copulate,1
to see/to look at,mirror,1
mistress of a house,wife,1
uncle (father's brother),nephew,1
market,week,1
sated by food,"rude, impolite",1
sated by food,to be fed up with,1
to cut (tr.),to begin (tr.),1
to cut (tr.),to kill,1
to knock down,to suppress,1
to knock down,to depress,1
to take,to believe,1
to take,to subtract,1
"to raise, lift (tr.)",to record,1
to buy,to bribe,1
to put,to persuade,1
to put out,to subtract,1
to look inside,to understand,1
to want,any,1
to sink (tr.),swamp,1
pink,good,1
blue,eggplant (Solanum melongena),1
straw,penis,1
pit,dimple,1
"sack, bag",clumsy,1
rotten,unreliable,1
road,"rule, regulations",1
"plough, ard",moose,1
to finish,to experience an orgasm,1
"to approach, come near",to experience an orgasm,1
goldsmith,dragonfly,1
sieve (n.),dragonfly,1
needle,dragonfly,1
official (n.),dragonfly,1
shepherd,dragonfly,1
horse (Equus caballus),dragonfly,1
grandfather,dragonfly,1
grandmother,dragonfly,1
girl,dragonfly,1
day,unit of length,1
bottom,caecum (intestinum),1
blind,caecum (intestinum),1
"aunt, father's sister",fever,1
neighbour,fever,1
"kind, good-hearted",fever,1
well-being,"property, possessions",1
thrush,coward,1
rain,Lycoperdon,1
tobacco,Lycoperdon,1
to speak,"to prove, to argue",1
teacher,doctor (medical),1
uncle,woodland spirit,1
owner,woodland spirit,1
long (size),woodland spirit,1
long (size),snake,1
long-armed,thief,1
lower part,away,1
length,longitude,1
width,latitude,1
to add,"to inform, let know",1
palm (body part),threshing floor,1
"to tear, rend",to flog,1
"act, deed",drama (theatre),1
drama (theatre),distressing event,1
<name of person>,police officer,1
dog,police officer,1
to scratch (with nails),to run away,1
to explain,to translate,1
back (body part),book back,1
root (of a plant),book back,1
"bowels, intestine",common melilot (Melilotus officinalis),1
house,inheritance,1
house,native land,1
root (of a plant),root (arithmetic),1
root (of a plant),root of equation,1
sleeping,dense (forest),1
swamp,meat jelly,1
to breathe heavily,to be ill,1
grandfather,house spirit,1
grandfather,woodland spirit,1
falcon,cannon (weapon),1
snake,cannon (weapon),1
sod (stratum of soil),oath,1
white,distilled alcohol,1
to warm up,"to beat, hit",1
beech,buckwheat,1
dirty,swamp,1
to bend,gulf,1
buttock,wagtail (Motacilla),1
"corral, enclosure for cattle",herd,1
caterpillar,caterpillar track,1
to see/to look at,hill,1
"to drive, to force to move on","to distill, retort",1
to bend,"to swear, curse",1
to revere,to keep the fast,1
to wait,suitable,1
"wizard, magician",fraudster,1
"naked, bare",stone loach (Barbatula barbatula),1
"naked, bare",charr (Salvelinus),1
"naked, bare",mountain,1
honour,salary,1
"to drive, to force to move on",to raft timber,1
hump (of a person or camel),pink salmon (Oncorhynchus gorbuscha),1
bull,bullfinch (Pyrrhula pyrrhula),1
snow,bullfinch (Pyrrhula pyrrhula),1
smooth,thick,1
red,bullfinch (Pyrrhula pyrrhula),1
gold,bullfinch (Pyrrhula pyrrhula),1
priest (Christianity),bullfinch (Pyrrhula pyrrhula),1
to become deaf,to fail (of engine),1
fool,northern fulmar (Fulmarus glacialis),1
deaf,western capercaillie (Tetrao urogallus),1
horse (Equus caballus),western capercaillie (Tetrao urogallus),1
clothes,"property, possessions",1
leaf,tobacco,1
"plough, ard",unit of area,1
air,aër (veil covering vessels in the Orthodox Church),1
air,lung,1
<foreigner>,<thorny plant>,1
horn,spout of vessel,1
horn,swelling (on skin),1
red,brave,1
vulture,police officer,1
herring,police officer,1
owl,police officer,1
needle,arrow,1
bean,kidney,1
lung,liver,1
Tahitian chestnut (Inocarpus fagifer),kidney,1
liver,spleen (anat.),1
red,gills,1
mane,fin,1
"sack, bag",head,1
to throw,to lose,1
foot,"one time, once",1
road,"one time, once",1
time,"one time, once",1
one (unit),"one time, once",1
eye,colour,1
knot,hump (of a person or camel),1
bitter,difficult,1
hot,difficult,1
hot,quick,1
cold (adj.),slow (adj.),1
hair,feather,1
skin (of a person),body,1
blunt,tasteless,1
leaf,to sweep,1
moon,mirror,1
new,recently,1
to lose,error,1
to go down,to give birth,1
piece,half,1
side (n.),half,1
middle,half,1
to lie (posture),to believe,1
open (adj.),tactless,1
girl,bride,1
husband,friend,1
husband,servant,1
man,soldier,1
beloved,husband,1
husband,courage,1
to marry,husband,1
to marry,wife,1
father,foster-father,1
daughter,daughter-in-law,1
wife,daughter-in-law,1
blood,anger,1
circle,"apartment, flat",1
"board, plank",floor (vs. ceiling),1
tail,consequence,1
grandfather,tiger,1
snail,spiral,1
<honorific title>,tiger,1
grandparent,tiger,1
friend,tiger,1
tiger,"power, authority",1
woodland spirit,tiger,1
hoop,tyre (of a car),1
bed,garden bed,1
to get stuck,to stumble,1
"bowels, intestine",penis,1
fireplace,garden bed,1
bench,garden bed,1
long stick,boss,1
trumpet,"trunk, proboscis (of elephant)",1
elephant,whale,1
"trunk, proboscis (of elephant)",tendril (of plant),1
moustache,tendril (of plant),1
"to call (somebody), to call for",to cost,1
grandparent,elephant,1
elephant,good,1
elephant,marble goby (Oxyeleotris marmorata),1
stick (n.),penis,1
to go away,to marry,1
penis,urine,1
"rope, string, cord, lashing","duty, responsibility",1
to feel pity,to die,1
ox,elephant,1
"to spring, jump","to be better than, to surpass",1
tiger,lion (Panthera leo),1
"tortoise, turtle",cuckold,1
body part,member,1
to spit,to despise,1
lonely person,monk,1
to catch up,to find,1
to blow,to spit,1
boss,parents,1
spleen (anat.),anger,1
to suffer from hunger,to whine,1
child,<young plant>,1
fable,riddle,1
pregnant,sensitive,1
wolf (Canis lupus),lion (Panthera leo),1
scorpion,nettle (Urtica),1
healthy,"kind, good-hearted",1
right (vs. left),best,1
tail fat (of sheep),hearts (in cards),1
heart,hearts (in cards),1
drinking vessel,hearts (in cards),1
club (a weapon),clubs (in cards),1
"spade, shovel",spades (in cards),1
diamond,diamonds (in cards),1
"biscuit, cookie",diamonds (in cards),1
square (geometrical),diamonds (in cards),1
tambourine,diamonds (in cards),1
rhombus,diamonds (in cards),1
diamond,rhombus,1
clover,clubs (in cards),1
coin,diamonds (in cards),1
sword,spades (in cards),1
spear,spades (in cards),1
cauldron,spades (in cards),1
leaf,spades (in cards),1
fly (n.),clubs (in cards),1
flower,clubs (in cards),1
acorn,clubs (in cards),1
wound (n.),plantain (Plantago),1
night,badger (Meles),1
bug (Heteroptera),short person,1
line,"footprint, track",1
vinegar,barberry,1
hedgehog (Еrinaceus),sty (on the eye),1
hajji,maize,1
raven,spades (in cards),1
eagle-owl (Bubo bubo),clubs (in cards),1
bird cherry tree,hearts (in cards),1
arrow,diamonds (in cards),1
goose,clubs (in cards),1
hoof,hearts (in cards),1
arrow,spades (in cards),1
crow,clubs (in cards),1
queen,queen (playing card),1
police officer,Jack (playing card),1
wife,queen (playing card),1
orphan,Jack (playing card),1
spear,dragonfly,1
cigar,dragonfly,1
"callus, corn",hemorrhoids,1
water-melon (Cucurbita citrullus),buttock,1
sin,misfortune,1
"yard, courtyard",diaphragm,1
grandfather,"devil, satan",1
snake,dragonfly,1
farmer,Jack (playing card),1
one (unit),ace (playing card),1
elder,ace (playing card),1
girl,queen (playing card),1
term of address to a married woman,queen (playing card),1
snake,fly agaric (Amanita muscaria),1
birch,birch bolete (Leccinum scabrum),1
water,birch bolete (Leccinum scabrum),1
thick,birch bolete (Leccinum scabrum),1
hare (Lepus),birch bolete (Leccinum scabrum),1
swamp,birch bolete (Leccinum scabrum),1
grey,birch bolete (Leccinum scabrum),1
soldier,birch bolete (Leccinum scabrum),1
"ear, spike (of a grain plant)",birch bolete (Leccinum scabrum),1
pillow,birch bolete (Leccinum scabrum),1
black,birch bolete (Leccinum scabrum),1
"harm, damage",to deceive,1
ancestor,cause; reason,1
"to accuse, blame",to revenge,1
burial,sunset,1
to die,to fail (of engine),1
to fear,to turn sour,1
buttock,butt of the rifle,1
to water (plants),"to adorn, decorate",1
page,diaphragm,1
"net, toils, network",diaphragm,1
egg,kidney,1
to sail,to drive (the car),1
backbone,keel,1
evening,"party, soiree",1
danger,accident,1
wet,"inert, passive",1
son-in-law,daughter-in-law,1
to sway,to set (of heavenly bodies),1
jaw,molar (tooth),1
crocodile,criminal,1
"to mix, stir",to marry,1
to sink (tr.),"to conceal, make secret",1
to defecate,to slander,1
to roast,to harass,1
to turn over,to fail,1
to lose one's way,to menstruate,1
"to turn, rotate (intr.)",to repent,1
sky,ceiling,1
to shave,"to enculturate, civilize",1
no,yes,1
<hat>,pride,1
to dance,to joke,1
to be eager,to be jealous,1
"to ask, inquire",to ask (for),1
wing,outbuilding,1
"to be busy, to act","commerce, business",1
"to beat, hit",to emotionalize,1
"to beat, hit",to astonish,1
earlier,most probably,1
simultaneously,immediately,1
blow,immediately,1
smell,aroma,1
green,beautiful,1
skill,magic,1
pawn (in chess),"puppet, lay figure",1
shark,stingray,1
"shape, form","figure, stature",1
"foundation, basement",pedestal,1
to use,to employ,1
gilt,lovely,1
"yard, courtyard",page,1
forbidden,bastard,1
cricket (insect),shepherd's pipe (musical instrument),1
hungry,"fine, powder-like",1
to overflow,"to be haughty, insolent",1
berry,nipple (part of the breast),1
tongue (body part),nipple (part of the breast),1
head,nipple (part of the breast),1
hare (Lepus),gay,1
cockroach,gay,1
sheath,vagina,1
hippopotamus,seahorse (Hippocampus),1
to sail into harbour,to copulate,1
"to unload, download",to copulate,1
to pierce,to copulate,1
strength,price,1
marrow,strength,1
rib,rib (part of a ship’s framework),1
rib,reed (in loom),1
comb,reed (in loom),1
"to beat, hit",reed (in loom),1
ray,spoke of wheel,1
ray,reed (in loom),1
shuttle (weaving instrument),shuttle (in a sewing machine),1
sword,reed (in loom),1
reed,reed (in loom),1
"weft, woof",latitude,1
warp,longitude,1
string (of a musical instrument),chord (music),1
bow-string,chord (geometry),1
bow-string,hypotenuse,1
garden,kindergarten,1
shield,coin,1
to blow,proud,1
to stand,to become,1
to come,to become,1
place,instead of,1
with exception of,in addition to,1
do not see,"to hate, to dislike",1
tail,wolf (Canis lupus),1
horned,deer,1
girl,wife,1
woman,daughter,1
"this way, like this",yes,1
person,husband,1
"to spring, jump","to appear, emerge",1
boy,person,1
mother,old woman,1
mother,<female animal>,1
daughter,Aloe vera (plant),1
mother,wife,1
<woman>,Aloe vera (plant),1
child,<small artifact>,1
father,motherland,1
mother,motherland,1
to carry,to lose,1
"to get, obtain",father,1
"to get, obtain",parents,1
name,grandfather,1
name,grandchild,1
"to get, obtain",husband,1
house,husband,1
lord,husband,1
to burn (intr.),to be poisoned by fumes,1
stem (of a plant),"handle, gripe",1
to go down,to begin (tr.),1
innocent,child,1
monarch,owner,1
grandfather,<term of address to a man>,1
mother,smallpox,1
"aunt, mother's sister",smallpox,1
mother,grandmother,1
mother,goddess,1
grandfather,<priest>,1
grandfather,old man,1
vocation,profession,1
to answer,to correspond,1
to speak,to correspond,1
"to beat, hit",to correspond,1
dry,lenten (fare),1
dry,dry (wine),1
dry,empty,1
dry,abstinent (from alcohol),1
lenten (fare),fatless,1
daughter,doll,1
doll,pupil (of an eye),1
servant,soldier,1
grandmother,<term of address to a woman>,1
grandmother,old woman,1
grandchild,grandparent,1
son,servant,1
son,"follower (of guru, leader)",1
dry,fatless,1
son,prince,1
son,<god>,1
daughter,"female servant, maid",1
daughter,"follower (of guru, leader)",1
wife,god,1
boss,husband,1
daughter,princess,1
son,"jewel, precious stone",1
to ripen,ready,1
to stand up,to stop moving,1
sweetheart,wife,1
husband,strong,1
body,daughter,1
body,son,1
family,wife,1
family,caste,1
"country, land",wife,1
child,people (pl.),1
child,lineage,1
one's own,sibling,1
together,sibling,1
garbage,police officer,1
"idler, loafer",sloth (South American mammal),1
grandmother,smallpox,1
son,courage,1
heart,courage,1
together,wife,1
green,child,1
green,courage,1
raw,raw material,1
man,<ready meal>,1
child,unripe (fruit),1
daughter,virgin,1
bridegroom,<ready meal>,1
tender (adj.),husband,1
after,younger,1
tender (adj.),child,1
love,daughter,1
love,son,1
love,wife,1
beautiful,husband,1
beautiful,wife,1
body,wife,1
field,wife,1
joy,daughter,1
soul,son,1
soul,daughter,1
priest (Christianity),king (a playing card),1
soul,husband,1
<religious rite>,wife,1
wife,<fallen woman>,1
beginning,boss,1
to knock,"to accuse, blame",1
to be in vertical position,torso,1
state (condition),state (sovereign polity),1
monarch,state (sovereign polity),1
elder sister,<term of address to a woman>,1
elder sister,<term of address with endearment>,1
"aunt, mother's sister",<term of address to a woman>,1
"little, small",younger,1
elder brother,<term of address to a man>,1
child,<term of address with endearment>,1
brother,<term of address to a man>,1
sister,<term of address to a woman>,1
woman,<term of address to a woman>,1
"aunt, father's sister",<term of address to a woman>,1
"cousin (male, cross-)",fool,1
father,<term of address with endearment>,1
mother,<term of address with endearment>,1
mother,sister,1
father,sir,1
mother,daughter,1
"little, small","aunt, mother's sister",1
elder sister,mother,1
elder brother,<member of criminal organisation>,1
elder brother,<term of address with endearment>,1
goat,drinking vessel,1
stem (of a plant),strain (microbiology),1
to fall down,to get (in games),1
to fall down,"to bend, bow (intr.)",1
to sow,summer,1
to be in vertical position,to stand still,1
man,"<exclamation of surprise, pain or sorrow>",1
uncle (father's brother),grandfather,1
uncle (father's brother),uncle (mother's sister's husband),1
"aunt, mother's sister",aunt (father's brother's wife),1
aunt (mother's brother's wife),mother-in-law,1
elder sister,"cousin (female, parallel)",1
younger sister,"cousin (female, parallel)",1
mistress of a house,"mistress, paramour",1
mother,"aunt, mother's sister",1
uncle (mother's brother),uncle (father's sister's husband),1
"aunt, father's sister",aunt (mother's brother's wife),1
uncle (mother's brother),"cousin (male, cross-)",1
son,man,1
son,soldier,1
husband,soldier,1
unripe (fruit),<not fully cooked meal>,1
child,little baby,1
man,bridegroom,1
child,man,1
younger brother,younger sister,1
son,younger brother,1
dust,(gun)powder,1
young,newlywed,1
to lead,to drive (the car),1
to sail,to soar,1
"to go, walk",to make a move (in a game),1
to move,to make a move (in a game),1
hand,move (board games),1
quick,swift (bird),1
"step, pace",move (board games),1
"to pull, to draw",to make a move (in a game),1
sickle,swift (bird),1
mother,queen (termites and ants),1
sickle,harvest time,1
sickle,July,1
sickle,August,1
son,bamboo,1
child,bridegroom,1
fist,handful,1
bark (of a tree),to tan (hides),1
mother,widow,1
mother,wet-nurse,1
Afrikaans,"Afrikaner, Boer",0
Albanian,Albanian language,0
America,"United States of America, USA",0
American,US citizen,0
"Athena, Athene",Athens,0
Augustus,August,0
Afrikaans,"Afrikaner, Boer",0
Chinese,Chinaman,0
German,German language,0
English,English language,0
Europe,Europa,0
French,French language,0
Greek,"Hellenian, Hellenic",0
Israelian,Israeli,0
Israelian,Israeli,0
"Hebrew, Jew",Israelite,0
Gaelic,Celtic,0
"Christmas, Christmas feast",Yule,0
Lucifer,Satan,0
Portuguese,Portuguese language,0
Islamic,Malay,0
Spanish,Spanish language,0
Helvetia,Switzerland,0
Czech,"Czechoslovak, Czechoslovakian",0
Czech,"Czechoslovak, Czechoslovakian",0
Venus,Evening Star,1
"ah, oh, ow",woe,0
"ah, oh, ow",flatter,0
barge,Rhine barge,0
abomination,"abhorrence, horror",0
abomination,bad job,1
currant,red currant,0
"almshouse, workhouse",almonry,0
aloe juice collector,"pauper, poor man",0
aloe juice collector,poor devil,0
"asthma, shortness of breath, wheeziness","dyspnea, dyspnoea",0
"at, to, toward, towards","beside, by, near, nearby, near to, next to",1
"at, to, toward, towards","on, upon",1
"at, to, toward, towards",with,1
concern,relate,0
offer,presentation,0
offer,tender,0
add,building,0
"break into, broach, cut into","begin, commence, start",1
"bring, fetch","accuse, denounce",1
attentive,attentively,0
share,"part, Parthian",0
affect,call at,0
affect,"activate, cause, give rise to",1
affection,emotion,0
"insistence, pressure, urgency",congestion,1
"insistence, pressure, urgency",rush,1
be washed ashore,"chase, drive, drive on, impel, shoo",1
be washed ashore,actuate,1
be washed ashore,"chase, drive, drive on, impel, shoo",1
be washed ashore,actuate,1
"indicate, suggest","point out, show",0
"dare to fight, stand up to","dare, venture",0
together,"at a strech, for ... together, on end",0
together,consecutively,0
"accuse, denounce",give,0
"accuse, denounce","pass, spend",0
adopted,accepted,1
"because, for the reason that","as, for, since",0
tipsy,"winged, wounded",1
"by marriage, ‐in‐law",related by marriage,0
"move, stir","affect, agitate",1
"abiding, lasting","constant, continual, permanent, sustained",0
"making, manifacture","fabricate, manufacture",0
acceptable,plausible,0
"appearance, aspect, look, sight, view","esteem, regard, respect",0
put on,"draw up to the table, sit down to table",0
"put on, start, switch on, turn on",switch,0
assault,assessment,0
join,"associate, come together, pool",0
connection,"joining, junction",0
"aspire, aspire to, hope for",run for election,1
"jog, nudge","offence, scandal",1
"jog, nudge",commotion,1
existence,presence,0
"demonstrate, prove","indicate, suggest",0
"assault, attack","access, aggression",0
"begin, commence, start","beginning, commencement",0
ear,vein,0
"ground, soil","earth, land",0
attraction,ace,0
attraction,carrion,0
abacus,"ball‐frame, counting‐frame",0
butcher's shop,"abattoir, slaughterhouse",0
manager,administrator,0
"notification, notice","advice, counsel",0
"branch, compartment, department, pigeonhole, section, speciality",detachment,1
warehouse,bazaar,0
"issue, proclaim",promulgate,0
"issue, proclaim","publish, reveal",0
thrash,curry,0
"dispatch, send off, ship","dismiss, turn away",1
"demand, sale",fleece,1
deposit,amputate,0
deposit,"take off, put off",0
deposit,depose,0
deposit,"deprive, dismiss",0
deposit,"halt, stop",0
deposit,"shut off, switch off, turn off",0
"abolish, abrogate","do away with, get rid of, remove",0
"cut, cut a connection","shut off, stop, switch off, turn off",0
"divide, separate",secrete,0
"separation, partition",secretion,0
"discharge, fire, fire off, let off",shoot off,0
"abhorrence, abomination, horror","deter, discourage, scare",0
"amortize, deaden",write off,1
"abhorrent, abominable, alien, awful, hideous, horrible, gruesome","abysmal, dreadful, terrible",0
turn,reject,0
turn,"discount, rebate",0
turn,reduce the price,0
"bar, obstruct","accomodate, end, finish, terminate",0
"bar, obstruct",strike a balance,0
"bar, obstruct",fence off,0
"bar, obstruct",lock,0
dam,"barrier, fence",0
"divide, separate","insulate, isolate, seclude",0
"apart, particular, separate, special","isolated, secluded",0
split off,separate,0
"accommodation, accord, agreement","appointment, date, rendezvous",1
"jump off, leap down","break down, come to nothing",0
abdication,abandonment,0
abdication,"distance, offset",0
cut off,contrast,0
reject,tune,1
dull,become dull,0
dull,blunt,0
"harry, ravage","flay, skin, strip",0
"abjure, abnegate","forswear, swear off, renounce",0
abjuration,renunciation,0
derive,drain,0
derive,bottle,0
resign,quit,0
resign,retire,0
"demand, sale","pick, pluck, tear off",1
"demand, sale","absent onself, depart, go away, leave",1
"demand, sale","discount, rebate",0
"demand, sale",retreat,1
"demand, sale",subtract,0
apostatize,"clippings, cuttings, parings, refuse, rubbish, waste, windfall",0
apostatize,drop out,0
apostatize,"drop, fall",0
apostatize,"desert, secede",0
apostatize,"apostasy, defection",0
apostatize,"fall away, lose, lose flesh, lose in weight",0
apostatize,"remainder, rest",0
apostatize,"debris, rubble",0
apostate,unfaithful,0
apostate,"deserter, renegade",0
apostate,renegate,0
divert,"carrying off, discharge",1
down,underneath,0
defend,"defence, defense",0
"break of a habit, teach","break oneself of a habit, get out of a habit, unlearn",0
"cast off, fling off, throw off","cast, shed",0
"cast off, fling off, throw off",get rid of,0
"cast off, fling off, throw off","afford, bear, produce",0
"be absent, be missing",be lacking,0
"conclude, dispatch, expedite, finnish, settle",liquidate,0
"conclude, dispatch, expedite, finnish, settle","unroll, unwind, wind off",1
deviate,turn,1
deviate,"deflect, diverge, wander",0
"abnormity, anomaly","deflection, deviation",0
"abnormity, anomaly","aberrance, aberration",0
"abnormity, anomaly",abnormality,0
reject,"abort, quash, wreck",0
reject,refuse,0
rejection,refusal,0
"acuity, advertence, advertency, attention","ah, oh, ow",0
"acuity, advertence, advertency, attention","esteem, think well of",0
"acuity, advertence, advertency, attention","account, accredit, believe, deem",0
"acuity, advertence, advertency, attention",eight,0
"acuity, advertence, advertency, attention","opine, think",0
"acuity, advertence, advertency, attention",woe,0
agent,policeman,0
eighth,eighth part,0
"at a strech, for ... together, on end",consecutively,0
"back part, hind part","back, rear",0
"back part, hind part","backside, rump",0
"back part, hind part","behind, bottom, buttocks",0
background,"bottom, foundation, ground",0
"rear, rearguard",defence,0
second cousin,grand‐nephew,1
second cousin,grand‐niece,1
second cousin,grand‐niece,1
"backward, on one's back",backwards,0
last,"hind, hindmost",0
last,"backside, rump",0
back to front,vice‐versa,0
"decline, recede","go back, go backwards",0
rear‐exit,abatement,0
rear‐exit,"decline, going down",0
"esteem, regard",respect,0
"ouch, ow","ai, sloth",0
"ouch, ow",three‐toed sloth,0
field,acorn,0
field,oak,0
lesser bindweed,bindweed,0
acclimatize,acclimate,0
accompaniment,escort,0
"accord, accordance, agreement, concurrence",chord,0
"accord, accordance, agreement, concurrence","accommodation, adjustment, arrangement",0
"accurate, on time, prompt, punctual",exact,0
"accurate, on time, prompt, punctual",precise,0
"accent, stress","accent mark, supersign",0
"action, activity","achievement, act",0
"constantly, continually, continuously","all the time, ceaselessly",0
soon,"almost, nearly",0
"commonplace, dismal, trite",daily,0
"exclusively, just, only","alone, sole, solitary",0
"hotchpotch, medly","admixture, mixture",0
"all, every kind of","all sorts, all sorts of, miscellaneous, of all sorts",0
"all, every kind of","all sorts, all sorts of, miscellaneous, of all sorts",0
"all, altogether, everything",all of it,0
in every way,"in all respects, in every respect",0
"contralto, contralto voice",alto,0
"contralto, contralto voice",alto,0
"afresh, again, all over again, anew",once more,0
"all, altogether, everything",all of it,0
"barely, hardly, only just, scarcely","almost, nearly",0
college,colleague,1
entertainment,"amusement, fun",0
hook,sting,1
"agony, anguish, fear",fright,0
horrible,"afraid, fearful",0
soul,"activity, gusto, spirit, stir, zest",0
comment,annotate,0
anonymous,"nameless, without a name",0
"argument, plea",quarrel,0
arm,"miserable, poor",0
"ash, cinder",than,0
"ash, cinder","if, provided that",0
"aid, assistant, helper",assistent,0
"path, road, way","course, race‐course, track, running track",0
"path, road, way",width,0
"path, road, way",playground,0
"path, road, way",orbit,0
"path, road, way",trajectory,0
"path, road, way",route,0
wave,"litter, strecher",1
"boss, chief, leader",master,0
"gain, profit",avail,0
"gain, profit","advantage, benefit",0
"a lot of, much",many,0
"a lot of, much",a lot,0
"a lot of, much",plenty of,0
"a lot of, much","quite, very, very much",0
bake,fry,0
bake,"tub, vat",0
bake,"basin, bowl, pelvis",0
equilibrium,weight,1
embalm,"balm, balsam",0
"banality, platitude","triteness, triviality",0
"binding, strip, tape",tyre,0
"binding, strip, tape",tire,1
bank,bench,0
"banker, bank manager","bank clerk, bank official",0
bankrupt,"bankruptcy, failure",0
split,"burst, crack, flaw",0
"by day, during the day",in the daytime,0
thank,"quit, resign",1
thank,reject,1
thank,refuse,1
rejection,refusal,0
bed,watercourse,1
"church, church‐building, kirk","house of worship, place of worship",0
"consideration, deliberation",objection,0
"damage, injure, spoil",corruption,1
"damage, injure, spoil",bribe,1
"damage, injure, spoil",go bad,1
"damage, injure, spoil","decay, depravation, taint",0
"damage, injure, spoil","putrefy, rot",0
spoil,go bad,0
spoil,"putrefy, rot",0
serve,administer the last sacraments,0
"maid, servant",boy,1
"set conditions, stipulate","condition, stipulation, terms",0
"arrange, fix up",prepare,0
"aim, intend",mean,0
spoiled,"addled, bad, rotten",0
"experienced, expert, skilful, skilled, skillful, practised","adroit, clever, dexterous",0
"be unfaithful, be unfaithful to","cheat, deceive",0
"deceptive, delusive, fallacious",deceitful,0
"afflict, grieve","cause pain, cause pain to, distress, give pain to",0
sadness,"grief, sorrow",0
"afflict, grieve","cause pain, cause pain to, distress, give pain to",0
"dejected, depressed","dismal, gaunt, miserable, sad",0
"dejected, depressed",print,0
"dejection, depression, oppression","sadness, sorrow",0
enterprise,"achieve, act, do, make, perform",0
enterprise,"handicraft, occupation, trade",0
enterprise,"accomplish, keep, observe",1
enterprise,profession,0
"achieve, act, do, make, perform","accomplish, keep, observe",0
activity,"gusto, spirit, stir, zest",1
"agitated, anxious",afraid,0
indication,meaning,0
"bridle, check, restrain","control, govern, rule",0
"image, picture","figure, diagram, representation",0
"image, picture",metaphor,0
"image, picture",statue,0
"delightful, lovely",charming,0
"delightful, lovely",charming,0
"image, picture",portrait,0
leg,paw,1
leg,bone,0
abutment,bear,0
abutment,boar,0
acanthus,"cow parsnip, hogweed",0
"animal, beast","bovine, bovine animal",0
beet,bite,0
"clutch, grapple","capture, catch",0
"clutch, grapple","capture, catch",0
"clutch, grapple","fool, hoax, mystify, trick",0
"clutch, grapple",take in,0
"clutch, grapple","capture, catch",0
"achieve, act, do, make, perform","accomplish, keep, observe",0
"achieve, act, do, make, perform","tread, walk, walk upon",0
covet,"desire, wish",0
"avidity, covetousness, eagerness, greediness","desire, want, wish",0
accompany,escort,0
"amnesty, pardon",forgive,0
"donate, give",endow,0
"begin, commence, start","beginning, commencement",0
element,principle,0
"delusion, spell",illusion,0
bury,"entomb, inter",0
bury,"entomb, inter",0
"abridge, confine, limit, restrict","confined, limited, restricted",0
idea,"conception, notion",0
idea,understanding,0
idea,concept,0
budget,"estimate, estimates",1
"favor, favour",protection,1
"agreeable, enjoyable, lovely, nice, pleasant",comfortable,0
"agreeable, enjoyable, lovely, nice, pleasant",pleasing,0
"achieve, acquire, attain, get, obtain","accomplish, reach",0
"achieve, acquire, attain, get, obtain","earn, gain, win",0
"apart from, but, except, other than","besides, except for",0
"care for, cure, treat",discuss,1
"care for, cure, treat","deal with, handle",1
"control, govern, restrain, rule",know how,0
"control, govern, restrain, rule","composed, restrained, self‐possessed",0
ruler,sovereign,0
